n, t
200, 0.0018398761749267578
10200, 0.23970293998718262
20200, 0.649404764175415
30200, 1.2618687152862549
40200, 2.0034470558166504
50200, 2.941406011581421
60200, 4.01911997795105
70200, 5.511648893356323
80200, 6.799548864364624
90200, 8.419032096862793
100200, 10.244210958480835
110200, 12.257023096084595
120200, 14.429001808166504
130200, 16.89134407043457
140200, 20.21678590774536
150200, 23.292479991912842
160200, 26.962010860443115
