n, t, len
201, 0.007096052169799805, 1
301, 0.007562875747680664, 1
401, 0.006612062454223633, 1
501, 0.007053852081298828, 1
601, 0.008783817291259766, 1
701, 0.006495952606201172, 1
801, 0.008069276809692383, 1
901, 0.007210969924926758, 1
1001, 0.007999897003173828, 1
1101, 0.006408214569091797, 1
1201, 0.009554862976074219, 1
1301, 0.006288766860961914, 1
1401, 0.006175994873046875, 1
1501, 0.008046150207519531, 1
1601, 0.006449222564697266, 1
1701, 0.008298158645629883, 1
1801, 0.0065059661865234375, 1
1901, 0.010011911392211914, 1
2001, 0.007143735885620117, 1
2101, 0.00632786750793457, 1
2201, 0.008486032485961914, 1
2301, 0.006426095962524414, 1
2401, 0.007843732833862305, 1
2501, 0.007277011871337891, 1
2601, 0.008712053298950195, 1
2701, 0.006536006927490234, 1
2801, 0.006779909133911133, 1
2901, 0.007277965545654297, 1
3001, 0.0067901611328125, 1
3101, 0.007647037506103516, 1
3201, 0.009281158447265625, 1
3301, 0.0065021514892578125, 1
3401, 0.006165981292724609, 1
3501, 0.006433010101318359, 1
3601, 0.007855892181396484, 1
3701, 0.006281137466430664, 1
3801, 0.008079051971435547, 1
3901, 0.00922703742980957, 1
4001, 0.0062749385833740234, 1
4101, 0.006375789642333984, 1
4201, 0.006627082824707031, 1
4301, 0.009547948837280273, 1
4401, 0.007365703582763672, 1
4501, 0.008468866348266602, 1
4601, 0.009171247482299805, 1
4701, 0.006321907043457031, 1
4801, 0.0064089298248291016, 1
4901, 0.0063018798828125, 1
5001, 0.00772404670715332, 1
5101, 0.00839090347290039, 1
5201, 0.009373903274536133, 1
5301, 0.006491899490356445, 1
5401, 0.0062181949615478516, 1
5501, 0.006440877914428711, 1
5601, 0.007318973541259766, 1
5701, 0.006680011749267578, 1
5801, 0.007966995239257812, 1
5901, 0.009326934814453125, 1
6001, 0.0064241886138916016, 1
6101, 0.006281137466430664, 1
6201, 0.006295919418334961, 1
6301, 0.007898092269897461, 1
6401, 0.0064241886138916016, 1
6501, 0.006247043609619141, 1
6601, 0.009507179260253906, 1
6701, 0.006466865539550781, 1
6801, 0.007828950881958008, 1
6901, 0.007740974426269531, 1
7001, 0.00639796257019043, 1
7101, 0.008405923843383789, 1
7201, 0.006891012191772461, 1
7301, 0.00904393196105957, 1
7401, 0.006584882736206055, 1
7501, 0.0064198970794677734, 1
7601, 0.008182048797607422, 1
7701, 0.007878303527832031, 1
7801, 0.006143093109130859, 1
7901, 0.007302761077880859, 1
8001, 0.008500099182128906, 1
8101, 0.006311893463134766, 1
8201, 0.007400989532470703, 1
8301, 0.007009029388427734, 1
8401, 0.007971763610839844, 1
8501, 0.006213188171386719, 1
8601, 0.009218215942382812, 1
8701, 0.006182193756103516, 1
8801, 0.006459712982177734, 1
8901, 0.00811004638671875, 1
9001, 0.006405830383300781, 1
9101, 0.00817108154296875, 1
9201, 0.006044149398803711, 1
