n, s
201, 0.0002181529998779297
401, 0.0009660720825195312
501, 0.0007631778717041016
601, 0.00232696533203125
701, 0.0006489753723144531
801, 0.00156402587890625
901, 0.0031681060791015625
1001, 0.001416921615600586
1101, 0.0011858940124511719
1201, 0.0015451908111572266
1301, 0.0015099048614501953
1401, 0.0017859935760498047
1501, 0.0021219253540039062
1601, 0.0017542839050292969
1701, 0.005689859390258789
1801, 0.003119230270385742
1901, 0.003098011016845703
2001, 0.002393960952758789
2101, 0.005079030990600586
2201, 0.004492998123168945
2301, 0.0027539730072021484
2401, 0.00386810302734375
2501, 0.0055501461029052734
2601, 0.005520820617675781
2701, 0.004146099090576172
2801, 0.005609989166259766
2901, 0.005965232849121094
3001, 0.004240989685058594
3101, 0.007767915725708008
3201, 0.0073740482330322266
3301, 0.01203775405883789
3401, 0.007335186004638672
3501, 0.008311033248901367
3601, 0.0073888301849365234
3701, 0.006807088851928711
3801, 0.007737874984741211
3901, 0.01031184196472168
4001, 0.009118080139160156
4101, 0.01019287109375
4201, 0.008699893951416016
4301, 0.012056827545166016
4401, 0.013416767120361328
4501, 0.0135040283203125
4601, 0.009323835372924805
4701, 0.01579904556274414
4801, 0.013161897659301758
4901, 0.014214277267456055
5001, 0.018085241317749023
5101, 0.0165708065032959
5201, 0.015829086303710938
5301, 0.013851165771484375
5401, 0.01976609230041504
5501, 0.015136003494262695
5601, 0.018096208572387695
5701, 0.017645835876464844
5801, 0.023028850555419922
5901, 0.026363849639892578
6001, 0.020188331604003906
6101, 0.028641939163208008
6201, 0.019041061401367188
6301, 0.021411895751953125
6401, 0.01883101463317871
6501, 0.02432990074157715
6601, 0.020762205123901367
6701, 0.02428889274597168
6801, 0.022970199584960938
6901, 0.030477046966552734
7001, 0.02414107322692871
7101, 0.024678707122802734
7201, 0.025988101959228516
7301, 0.02754998207092285
7401, 0.03072214126586914
7501, 0.031233787536621094
7601, 0.036585092544555664
7701, 0.034439802169799805
7801, 0.03133988380432129
7901, 0.03373384475708008
8001, 0.03861808776855469
8101, 0.04288291931152344
8201, 0.031494855880737305
8301, 0.03702092170715332
8401, 0.03325486183166504
8501, 0.04071521759033203
8601, 0.044135093688964844
8701, 0.03478598594665527
8801, 0.03297114372253418
8901, 0.035372018814086914
9001, 0.04318118095397949
9101, 0.040042877197265625
9201, 0.04613804817199707
9301, 0.04272270202636719
9401, 0.045176029205322266
9501, 0.05054593086242676
9601, 0.05096793174743652
9701, 0.06203413009643555
9801, 0.04867815971374512
9901, 0.05197405815124512
10001, 0.05267524719238281
10101, 0.04828906059265137
10201, 0.049262285232543945
10301, 0.0574030876159668
10401, 0.06140589714050293
10501, 0.05506110191345215
10601, 0.06079602241516113
10701, 0.05751800537109375
10801, 0.05373787879943848
