n, s
9, 9.322166442871094e-05
10, 9.393692016601562e-05
11, 0.00010013580322265625
12, 0.00011229515075683594
13, 0.00012111663818359375
14, 0.00023698806762695312
15, 0.00015211105346679688
16, 0.0001621246337890625
17, 0.00018286705017089844
18, 0.0002338886260986328
19, 0.00023794174194335938
20, 0.00039696693420410156
21, 0.0002651214599609375
22, 0.00028061866760253906
23, 0.00031495094299316406
24, 0.00024700164794921875
25, 0.00030303001403808594
26, 0.0004010200500488281
27, 0.00033402442932128906
28, 0.0002968311309814453
29, 0.0004341602325439453
30, 0.00043010711669921875
31, 0.00040602684020996094
32, 0.0004429817199707031
33, 0.0009398460388183594
34, 0.0002276897430419922
35, 0.000263214111328125
36, 0.0002620220184326172
37, 0.0002799034118652344
38, 0.0002810955047607422
39, 0.0002570152282714844
40, 0.00025391578674316406
41, 0.0006120204925537109
42, 0.0008628368377685547
43, 0.0003719329833984375
44, 0.0002460479736328125
45, 0.0002460479736328125
46, 0.0002841949462890625
47, 0.0009493827819824219
48, 0.0007150173187255859
49, 0.00049591064453125
50, 0.0004470348358154297
51, 0.00043487548828125
52, 0.0004417896270751953
53, 0.0004520416259765625
54, 0.0004527568817138672
55, 0.0005249977111816406
56, 0.000598907470703125
57, 0.000553131103515625
58, 0.0005679130554199219
59, 0.0006158351898193359
60, 0.0010499954223632812
61, 0.0007250308990478516
62, 0.0009620189666748047
63, 0.00046515464782714844
64, 0.0005197525024414062
65, 0.0005056858062744141
66, 0.00037217140197753906
67, 0.0007619857788085938
68, 0.0003502368927001953
69, 0.0003559589385986328
70, 0.0003612041473388672
71, 0.0003650188446044922
72, 0.0003681182861328125
73, 0.00037789344787597656
74, 0.0003800392150878906
75, 0.00048089027404785156
76, 0.0003948211669921875
77, 0.00040078163146972656
78, 0.0004069805145263672
79, 0.00041174888610839844
80, 0.0004258155822753906
81, 0.0017430782318115234
82, 0.0010929107666015625
83, 0.000926971435546875
84, 0.0005261898040771484
85, 0.0006020069122314453
86, 0.0008540153503417969
87, 0.0008571147918701172
88, 0.0004792213439941406
89, 0.00047588348388671875
90, 0.0004761219024658203
91, 0.00047898292541503906
92, 0.0004799365997314453
93, 0.0004820823669433594
94, 0.000576019287109375
95, 0.0005719661712646484
96, 0.0004992485046386719
97, 0.0006220340728759766
98, 0.0009937286376953125
99, 0.0019559860229492188
100, 0.0008320808410644531
101, 0.0005409717559814453
102, 0.0005362033843994141
103, 0.0005350112915039062
104, 0.0006122589111328125
105, 0.0005660057067871094
106, 0.0017971992492675781
107, 0.0005581378936767578
108, 0.0005590915679931641
109, 0.0005669593811035156
110, 0.0006189346313476562
111, 0.000701904296875
112, 0.0012619495391845703
113, 0.0015399456024169922
114, 0.0006580352783203125
115, 0.0006108283996582031
116, 0.0011620521545410156
117, 0.0006310939788818359
118, 0.0006120204925537109
119, 0.0006170272827148438
120, 0.0006229877471923828
121, 0.0006337165832519531
122, 0.0006341934204101562
123, 0.0006380081176757812
124, 0.0007951259613037109
125, 0.0011570453643798828
126, 0.0009868144989013672
127, 0.0006849765777587891
128, 0.0006639957427978516
129, 0.0006787776947021484
130, 0.0006771087646484375
131, 0.0008671283721923828
132, 0.0007781982421875
133, 0.0006861686706542969
134, 0.0006799697875976562
135, 0.0006971359252929688
136, 0.0007071495056152344
137, 0.0015292167663574219
138, 0.001016855239868164
139, 0.0011429786682128906
140, 0.0008199214935302734
141, 0.0007379055023193359
142, 0.0007460117340087891
143, 0.0007379055023193359
144, 0.0007448196411132812
145, 0.0007500648498535156
146, 0.0007510185241699219
147, 0.0007581710815429688
148, 0.0008902549743652344
149, 0.0015869140625
150, 0.001505136489868164
151, 0.0008029937744140625
152, 0.0008111000061035156
153, 0.0008029937744140625
154, 0.0008170604705810547
155, 0.0008130073547363281
156, 0.0008220672607421875
157, 0.0008981227874755859
158, 0.0008320808410644531
159, 0.0009500980377197266
160, 0.001222848892211914
