n, s
1001, 3.814697265625e-06
2001, 0.0003647804260253906
3001, 0.0004878044128417969
4001, 0.011667966842651367
5001, 0.0007350444793701172
6001, 0.0010099411010742188
7001, 0.00580286979675293
8001, 0.006130218505859375
9001, 0.011036157608032227
10001, 0.010331153869628906
11001, 0.010998964309692383
12001, 0.036688804626464844
13001, 0.033075809478759766
14001, 0.07489871978759766
15001, 0.058319807052612305
16001, 0.05594205856323242
17001, 0.04141592979431152
18001, 0.0565030574798584
19001, 0.03289294242858887
20001, 0.038902997970581055
21001, 0.05093574523925781
22001, 0.06975674629211426
23001, 0.06656408309936523
24001, 0.046579837799072266
25001, 0.05692005157470703
26001, 0.05611109733581543
27001, 0.05908083915710449
28001, 0.07009601593017578
29001, 0.07405686378479004
30001, 0.09767413139343262
31001, 0.06947898864746094
32001, 0.08881592750549316
33001, 0.08441495895385742
34001, 0.09857892990112305
35001, 0.09103989601135254
36001, 0.09480500221252441
37001, 0.10979104042053223
38001, 0.130126953125
39001, 0.10878801345825195
40001, 0.10844087600708008
41001, 0.1174478530883789
42001, 0.12706303596496582
43001, 0.11010622978210449
44001, 0.12080216407775879
45001, 0.11672616004943848
46001, 0.16431427001953125
47001, 0.16332793235778809
48001, 0.1606309413909912
49001, 0.1431128978729248
50001, 0.14241409301757812
51001, 0.18795299530029297
52001, 0.16286396980285645
53001, 0.16479277610778809
54001, 0.16498088836669922
55001, 0.16720914840698242
56001, 0.20814824104309082
57001, 0.17429566383361816
58001, 0.17861199378967285
59001, 0.19667792320251465
60001, 0.19835901260375977
61001, 0.22971892356872559
62001, 0.2402799129486084
63001, 0.2564511299133301
64001, 0.21874022483825684
65001, 0.2260899543762207
66001, 0.23478102684020996
67001, 0.274507999420166
68001, 0.24045205116271973
69001, 0.26090335845947266
70001, 0.268557071685791
71001, 0.2788691520690918
72001, 0.3200981616973877
73001, 0.34180712699890137
74001, 0.3690509796142578
75001, 0.32929086685180664
76001, 0.3812751770019531
10001, 1.0728836059570312e-05
20001, 0.00734400749206543
30001, 0.03782987594604492
40001, 0.0619657039642334
50001, 0.11495089530944824
10001, 4.410743713378906e-05
20001, 0.006827116012573242
30001, 0.018336057662963867
40001, 0.03923511505126953
50001, 0.08799123764038086
60001, 0.16048574447631836
70001, 0.18917179107666016
80001, 0.4929330348968506
90001, 0.6159560680389404
100001, 0.8130409717559814
110001, 0.8094921112060547
